ime,ocena_ign
High Heat Major League Baseball 2004,8.4
Airport Tycoon 2,2.5
IL-2 Sturmovik: Forgotten Battles,8.5
Heroes of Might and Magic IV: Winds of War,6.9
World of Outlaws: Sprint Cars,8.5
Ultima Online: Age of Shadows,8.1
Tom Clancy's Rainbow Six 3: Raven Shield,8.6
Delta Force: Black Hawk Down,8.9
Praetorians,8.9
A Tale in the Desert,8.9
NASCAR Racing 2003 Season,9.3
The Gladiators: The Galactic Circus Games,7.5
Freelancer,9.2
Post Mortem,7.9
Tom Clancy's Splinter Cell,9.4
Master of Orion 3,9.2
Sherlock Holmes: The Mystery of the Mummy,6.5
American Conquest,8.2
Command & Conquer: Generals,9.3
Battlefield 1942: The Road to Rome,9.1
Unreal II: The Awakening,8.2
Rise of Nations,8.2
The Sims Online,7.2
SimCity 4,9.2
Drome Racers,6.8
Impossible Creatures,8.3
Dark Age of Camelot: Shrouded Isles,8.7
Cossacks: Back to War,6.5
Neocron,6.5
Anarchy Online: The Notum Wars,8.8
ShadowFlare,6.5
Deadly Dozen: Pacific Theater,8.1
The Elder Scrolls III: Tribunal,8.6
Fighter Ace 3.5,8.4
Amazons & Aliens,4.3
Hearts of Iron,8.5
Hegemonia: Legions of Iron,8.2
NBA Live 2003,8.5
Tony Tough and the Night of Roasted Moths,5.2
Europa 1400: The Guild,8.5
O.R.B.,7.4
Dragon's Lair 3D: Return to the Lair,7.4
Robin Hood: The Legend of Sherwood,8.2
Star Trek: Starfleet Command III,8.2
Battle Realms: Winter of the Wolf,7.5
Prince of Qin,6.8
Project Nomads,6.3
Medal of Honor: Allied Assault - Spearhead,8.4
Treasure Planet: Battle at Procyon,8.5
NASCAR Thunder 2003,7.7
Antz Extreme Racing,2.4
MechWarrior 4: Mercenaries,9.1
The Sims Deluxe,9.5
Silent Hill 2,8.4
Age of Mythology,9.3
Radio Control Racers Deluxe: Traxxas Edition,6.2
Space HoRSE,5.5
EverQuest: The Planes of Power,7.8
Civilization III: Play the World,8.4
Divine Divinity,8.5
Combat Flight Simulator 3: Battle for Europe,7.3
Sniper: Path of Vengeance,3.5
The Lord of the Rings: The Fellowship of the Ring,6.5
Ultimate Ride: Disney Coaster,7.5
Earth & Beyond,8.8
Heroes of Might and Magic IV: The Gathering Storm,7.7
Dino Island,3.5
Batman: Vengeance,6.8
Syberia,7.1
Taz Wanted,6.2
Prisoner of War,7.4
Majesty: The Fantasy Kingdom Sim,8.4
Stronghold: Crusader,8.4
Bikini Karate Babes,1.5
Hitman 2: Silent Assassin,8.7
Casino Empire,6.2
Incoming Forces,7.9
NHL 2003,8.8
Empire Earth: The Art of Conquest,7.8
Tom Clancy's Ghost Recon: Island Thunder,8.4
Links 2003,8.6
Spring Break,7.8
America's Army,8.8
Industry Giant II,7.2
Chessmaster 9000,8.2
Battlefield 1942,9.3
Geoff Crammond's Grand Prix 4,8.3
Emperor: Rise of the Middle Kingdom,8.8
The Thing,8.5
Mobile Forces,6.8
Farscape: The Game,4.5
FIFA 99,8.7
Celtic Kings: Rage of War,8.2
Mafia,9.2
Medieval: Total War,8.9
Madden NFL 2003,9.2
US Open 2002,6.4
Operation Flashpoint: Resistance,7.9
Hooligans,2.3
Hooligan,2.3
Starcraft,9.5
Uncommon Valor: Campaign for the South Pacific,8.2
MechWarrior,5.5
MechWarrior 4: Inner Sphere 'Mech Pack,5.5
F1 2002,9.3
Magic: The Gathering Online,7.5
Assimilation,6.8
Warcraft III: Reign of Chaos,9.3
The Sims,9.5
Jazz and Faust,2.2
Ultimate Ride Coaster Deluxe,7.5
Shadow of Destiny,8.7
Age of Wonders II: The Wizard's Throne,8.5
Extreme Paint Brawl,0.7
Pac-Man All-Stars,6.4
Muscle Car II: American Spirit,1.5
Duke Nukem: Manhattan Project,7.7
Age of Empires II: The Conquerors Expansion,8.2
2002 FIFA World Cup,9.3
Rally Trophy,7.6
The Sum of All Fears,8.7
Grand Theft Auto III,9.4
Baseball Mogul 2003,8.9
Soldier of Fortune II: Double Helix,8.8
Warrior Kings,7.8
Star Wars Galactic Battlegrounds: Clone Campaigns,7.8
The Elder Scrolls III: Morrowind,9.4
Atari Revival,5.2
Factory Mogul,5.8
Carmageddon 3: TDR 2000,5.8
Army Men: RTS,7.7
Die Hard: Nakatomi Plaza,5.5
Tactical Ops: Assault on Terror,5.6
Jane's Attack Squadron,4.5
Alfred Hitchcock presents The Final Cut,6.1
Cossacks: The Art of War,7.5
Might and Magic IX,6.7
Heroes of Might and Magic IV,8.7
Global Operations,8.4
Carnivores: Cityscape,6.5
Blood Omen 2,7.1
Tony Hawk's Pro Skater 3,9.3
Dungeon Siege,8.5
Tom Clancy's Ghost Recon: Desert Siege,8.6
Freedom Force,9.3
Star Trek: Starfleet Command,8.3
Diggles,7.2
Dark Planet: Battle for Natrolis,7.5
Warlords Battlecry II,8.5
Moto Racer 3,6.9
NASCAR Racing 2002 Season,8.9
Fighter Ace,8.2
Destroyer Command,5.6
Grandia II,7.9
Fighter Ace III,8.2
Varmint Hunter,1.2
Command & Conquer: Renegade,7.4
Mall Tycoon,4.7
Jekyll & Hyde (2001),2.7
Tiger Woods PGA Tour 2002,8.2
Hunting Unlimited,7.5
Tropico: Paradise Island,8.5
Serious Sam: The Second Encounter,9.2
Star Wars: Starfighter,7.7
Sid Meier's SimGolf,8.5
SimGolf,8.5
Disciples II: Dark Prophecy,8.6
Baseball Mogul 2002,8.7
Car Tycoon,4.2
Original War,4.5
Black & White: Creature Isle,7.9
Gothic,8.6
Clusterball,6.8
Backyard Basketball,6.5
Tetris Worlds,5.7
Battlecruiser Millennium,7.2
Fighting Legends,6.5
Majesty: The Northern Expansion,7.8
Frank Herbert's Dune,8.2
EverQuest: The Shadows of Luclin,8.5
Casino,6.2
Dig Dug Deeper,6.5
Ballistics,7.2
Survivor (2001),2.4
Lineage: The Blood Pledge,7.8
Tennis Masters Series,6.5
S.W.I.N.E.,6.5
Patrician II: Quest for Power,7.9
Beyond Atlantis II,8.3
Legacy of Kain: Soul Reaver 2,8.8
The Sims: Hot Date,8.4
Etherlords,8.1
Kohan: Ahriman's Gift,8.3
Takeda,6.5
Trade Empires,8.3
Conflict Zone,6.7
Empire Earth,8.5
Deadly Dozen,6.4
Comanche 4,8.6
FIFA Soccer 2002,6.3
World War III: Black Gold,6.2
Battle Realms,8.7
Road to India: Between Hell and Nirvana,5.2
Asheron's Call Dark Majesty,8.4
Motor City Online,7.9
Harry Potter and the Sorcerer's Stone,6.4
F1 2001,7.9
Ultimate Ride,7.8
Supercar Street Challenge,4.9
Jumpgate: The Reconstruction Initiative,7.8
Silent Hunter II,7.8
Tom Clancy's Ghost Recon,9.3
Mystery of the Druids,4.5
Mat Hoffman's Pro BMX,7.2
4x4 EVO 2,8.4
MechWarrior 4: Black Knight Expansion,8.6
Magic & Mayhem: The Art of Magic,7.8
Sid Meier's Civilization III,9.3
Rails Across America,7.5
Real War,4.8
Stronghold,8.7
Monopoly Tycoon,8.2
Zoo Tycoon (2001),6.9
WWF With Authority!,6.8
The Weakest Link,3.5
Command & Conquer: Red Alert 2 - Yuri's Revenge,8.6
Throne of Darkness,7.5
Dragonriders: Chronicles of Pern,3.8
Zax: The Alien Hunter,7.7
Open Kart,6.8
NHL 2002,9.2
Red Faction,8.8
LEGO Racers 2,7.8
Sudden Strike Forever,7.4
Shogun: Total War,8.5
Independence War 2: Edge of Chaos,8.2
Arcanum: Of Steamworks and Magick Obscura,8.7
Political Tycoon,5.4
Anarchy Online,7.2
Majestic,7.5
Divided Ground: Middle East Conflict,6.1
The Corporate Machine,8.1
Hot Wired,5.3
Eurofighter Typhoon,8.3
Remote Assault,5.3
The Sting!,7.5
Max Payne,9.3
Cultures,7.3
Desperados: Wanted Dead or Alive,8.1
Pearl Harbor: Zero Hour,5.3
Star Trek: Deep Space Nine: Dominion Wars,5.8
Diablo II: Lord of Destruction,8.8
Poseidon,8.5
Star Trek Starfleet Command: Orion Pirates,7.8
911 Fire Rescue,5.5
Echelon,7.2
Hostile Waters: Antaeus Rising,8.7
Off-Road Redneck Racing,7.2
Rules of the Game,4.6
"Who Wants to Be a Millionaire, 3rd Edition",7.2
Gangsters 2: Vendetta,5.7
Pearl Harbor: Defend the Fleet,5.3
B-17 Gunner: Air War Over Germany,5.2
Resident Evil 3: Nemesis,7.6
Robot Arena,4.3
Merchant Prince II,7.3
Tropico,8.8
Rune: Halls of Valhalla,4.6
Evil Dead: Hail to the King,3.8
In Cold Blood,7.4
Evil Islands: Curse of the Lost Soul,8.9
Waterloo: Napoleon's Last Battle,7.8
Cossacks: European Wars,7.5
Ultima Online: Third Dawn,7.7
Tribes 2,8.9
Summoner,7.6
Kohan: Immortal Sovereigns,8.5
Adventure Pinball: Forgotten Island,6.7
High Heat Major League Baseball 2002,7.8
Star Trek Away Team,6.5
Fallout Tactics: Brotherhood of Steel,8.3
1nsane,7.1
Star Wars: Battle for Naboo,7.4
Triple Play Baseball,7.8
Black & White,9.7
Earth 2150: The Moon Project,7.5
Dracula: The Last Sanctuary,7.8
NASCAR Racing 4,9.2
KAO the Kangaroo,5.2
The Messenger,6.1
Thandor: The Invasion,4.8
Industry Giant,3.2
Bugs Bunny & Taz: Time Busters,6.8
Ducati World Racing Challenge,5.7
Icewind Dale: Heart of Winter,8.6
Stupid Invaders,7.2
Blade of Darkness,8.8
NBA Live 2001,8.3
Rowan's Battle of Britain,7.7
Airline Tycoon,7.9
Mayday,4.9
Legend of the North: Konung,4.2
Woody Woodpecker Racing,4.5
Age of Sail II: Privateer's Bounty,7.8
Age of Sail II,7.8
The Outforce,6.5
Colin McRae Rally 2.0,8.9
Wacky Races,6.2
Gold and Glory: The Road to El Dorado,4.2
Oni,7.5
Dave Mirra Freestyle BMX,6.5
America,4.5
Carnivores: Ice Age,5.1
Cyber Groove,5.4
Sudden Strike,8.1
The Ward,6.4
The Broken Land,3.7
Riddle of the Sphinx: An Egyptian Adventure,5.3
Kingdom Under Fire: A War of Heroes,7.2
Backstage Pass: The Ultimate Rock & Roll Trivia Game,7.2
Odyssey: The Search for Ulysses,5.1
Chicken Run,7.1
Harley Davidson: Wheels of Freedom,5.2
PBA Bowling,5.6
Seven Games of the Soul,3.5
X-Plane,8.2
Freedom: First Resistance,4.9
Starfleet Command Volume II: Empires at War,8.5
F1 Championship Season 2000,9.2
Quake III: Team Arena,7.8
Dirt Track Racing: Sprint Cars,7.4
You Don't Know Jack: 5th Dementia,8.2
Dino Crisis,6.4
Ski Resort Tycoon,7.4
Giants: Citizen Kabuto,9.2
Chessmaster 8000,8.3
Virtual Pool 3,8.5
The Grinch,5.5
EverQuest: The Scars of Velious,8.5
Tiger Woods PGA Tour 2001,7.5
American McGee's Alice,9.4
Tomb Raider: Chronicles,6.3
Star Trek: Deep Space Nine: The Fallen,7.8
Battle Isle: The Andosia War,7.5
Sea Dogs,8.5
Hitman: Codename 47,6.5
Fur Fighters,8.3
Blair Witch Volume III: The Elly Kedward Tale,6.8
Timeline,3.8
Counter-Strike,8.9
Championship Surfer,7.1
Delta Force: Land Warrior,7.3
The Longest Journey,9.3
The Devil Inside,8.1
Rocky Interactive Horror Show,5.3
Starship Troopers: Terran Ascendancy,7.2
4x4 Evolution,8.2
Sheep,7.6
The Operative: No One Lives Forever,9.1
Pac-Man: Adventures in Time,8.6
Escape from Monkey Island,8.7
Zeus: Master of Olympus,9.1
Rising Sun: Imperial Strike,6.6
Links 2001,8.5
Galaga: Destination Earth,6.2
SWAT 3: Elite Edition,8.8
Blair Witch Volume II: The Legend of Coffin Rock,6.7
Family Feud (2000),6.9
Death Track Racing,8.7
Deep Raider,4.1
Command & Conquer: Red Alert 2,9.3
FIFA 2001 Major League Soccer,8.8
Tony Hawk's Pro Skater 2,9.3
Breakout,6.5
Frogger 2: Swampy's Revenge,8.5
Blair Witch Volume I: Rustin Parr,6.8
Close Combat: Invasion: Normandy,8.2
Tom Clancy's Rainbow Six: Covert Ops Essentials,6.4
Hard Truck,6.2
Hard Truck 2,6.2
Combat Flight Simulator 2: WWII Pacific Theater,8.2
RollerCoaster Tycoon: Loopy Landscapes,8.2
The Dukes of Hazzard: Racing for Home,5.8
Vietnam: Black Ops,5.2
NHL 2001,9.1
Battleship: Surface Thunder,7.4
Wizards & Warriors,8.4
Maximum Pool,7.9
Reach for the Stars,5.4
Midtown Madness 2,8.5
Sanity: Aiken's Artifact,8.3
Crimson Skies,8.8
Panzer General III: Scorched Earth,7.9
MindRover: The Europa Project,8.5
Star Trek: Voyager Elite Force,8.6
High Impact Paintball,3.3
Return of the Incredible Machine Contraptions,8.4
The New Adventures of the Time Machine,7.6
Homeworld: Cataclysm,9.2
Microsoft Golf 2001 Edition,7.7
Star Trek: New Worlds,6.2
Madden NFL 2001,8.7
3D Ultra Pinball: Thrillride,7.9
Time Out Games,4.9
The Sims: Livin' Large,7.5
Sydney 2000,6.4
Urban Chaos,8.7
Who Wants to Beat Up a Millionaire,5.7
Baldur's Gate II: Shadows of Amn,9.4
Metal Fatigue,7.1
Virtual Deep Sea Fishing,3.3
Kart Challenge,5.1
Cleopatra: Queen of the Nile,8.6
Beyond Atlantis,6.4
Gromada,6.3
Bang! Gunship Elite,7.9
F1 World Grand Prix,8.3
Caesars Palace 2000: Millennium Gold Edition,7.2
Icewind Dale,8.8
Diablo II,8.3
Star Trek ConQuest Online,7.8
10Six,6.2
Deus Ex,9.4
SimCity 3000 Unlimited,9.1
PGA Championship Golf 2000,7.7
Q*bert,6.8
Star Trek: Klingon Academy,7.8
Renegade Racers,7.5
Innova Disc Golf,3.3
Evolva,7.2
Earth 2150,8.9
Ground Control,8.6
Flying Heroes,8.3
Ultima Online:  Renaissance,7.5
AI Wars: The Awakening,5.8
Martian Gothic: Unification,7.9
Emergency Rescue: Firefighters,5.5
Panty Raider: From Here to Immaturity,1.5
John Romero's Daikatana,5.8
Hot Wheels: Micro Racers,6.2
KA-52 Team Alligator,6.3
Formula 1,4.2
Motocross Madness 2,8.6
Puzz 3D: The Orient Express,3.5
SafeCracker,5.2
F1 2000,8.1
Ultimate Hunt Challenge,5.5
Test Drive Le Mans,7.5
Tachyon: The Fringe,8.4
Colin McRae Rally,6.7
Allegiance,8.2
Chase Ace 2,8.4
EverQuest: The Ruins of Kunark,8.5
Championship Bass,8.5
StarLancer,9.2
Sammy Sosa Softball Slam,4.6
Crystal Key,6.8
Legend of the Lotus Spring,4.2
Edgar Torronteras' Moto-X 2000,5.5
Super Scattergories,6.2
Shadow Watch,8.4
F/A-18E Super Hornet,5.5
Beetle Buggin',7.2
Tzar: The Burden of the Crown,6.9
Command & Conquer: Tiberian Sun - Firestorm,7.4
Microsoft Baseball 2001,7.9
Messiah,7.3
Codename Eagle,7.3
Army Men: Air Tactics,4.5
NASCAR 2000,7.2
Need for Speed: Porsche Unleashed,7.9
Risk II,8.3
Croc 2,6.5
Total Annihilation: Kingdoms - The Iron Plague,5.8
Invictus: In the Shadow of Olympus,5.9
PBA Bowling 2,4.5
Star Wars: Force Commander,4.7
Might and Magic VIII: Day of the Destroyer,6.5
Stephen King's F13,2.1
Die Hard Trilogy 2: Viva Las Vegas,5.7
Deer Hunter,8.2
Deer Hunter 3,8.2
Tread Marks (2000),6.9
Swamp Buggy Racing,1.9
Killer Loop,8.1
X: Beyond the Frontier,7.7
Y2K: The Game,5.7
Microsoft Soccer,7.6
Nox,8.9
Blaze & Blade - Eternal Quest,4.4
Bust-A-Move 4,6.4
Crossman Extreme Paintbrawl 2,2.6
Pain,2.6
South Park Rally,4.9
1602 A.D.,7.9
F/A-18,8.5
Final Fantasy VIII,7.4
Carnivores 2,7.3
Descent 3: Mercenary,8.8
NASCAR Legends,8.9
Battlezone II: Combat Commander,7.9
Asheron's Call,6.4
Professional Bull Rider,7.6
Scrabble (1996),7.8
Lightbringer,5.2
Extreme Rock Climbing,4.5
Shanghai: Second Dynasty,8.8
Sid Meier's Antietam!,8.8
Missile Command,6.8
Rubik's Games,7.5
Colt's Wild West Shootout,3.9
3D Ultra RC Racers,6.2
Test Drive: Off-Road 3,7.3
Star Wars: Pit Droids,7.5
Touring Car Challenge,5.5
Tonic Trouble,6.3
TOCA 2: Touring Car Challenge,5.5
Planescape: Torment,9.2
Tanktics,3.5
Monopoly Casino,7.5
Napoleon 1813,6.4
South Park: Chef's Luv Shack,5.5
Dirt Track Racing,8.8
Test Drive 6,6.5
Who Wants to be a Millionaire?,6.2
Links LS 2000,8.2
Ultima IX: Ascension,6.2
Quake III Arena,9.3
Hype: The Time Quest,7.8
Close Combat: Battle of the Bulge,8.4
NBA Live 2000,9.2
"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",8.3
Indiana Jones and the Infernal Machine,7.8
Unreal Tournament (1999),9.6
Age of Wonders,8.8
Panzer Elite,5.3
The Wheel of Time(1999),7.3
Amerzone: The Explorer's Legacy,5.5
SWAT 3: Close Quarters Battle,8.6
Diplomacy (1999),6.6
Akuma: Demon Spawn,3.5
Interstate '82,6.9
Spec Ops II: Green Berets,5.2
Delta Force 2,7.5
Nocturne,7.4
Grand Theft Auto 2,7.3
Rayman 2: The Great Escape,9.2
USAF,8.2
Seven Kingdoms II: The Fryhtan Wars,8.6
Nerf Arena Blast,8.8
Omikron: The Nomad Soul,8.5
Chessmaster 7000,8.1
Pong: The Next Level,7.4
Nations: WWII Fighter Command,6.8
FIFA 2000: Major League Soccer,8.8
Sid Meier's Alien Crossfire,8.7
Revenant,8.3
Shadow Company: Left For Dead,7.3
Nightlong,6.8
The Next Tetris,6.5
Army Men: Toys in Space,4.8
NASCAR Racing 3,9.2
Deer Hunt Challenge,5.3
Armored Fist 3,6.9
Poker Night with David Sklansky,6.4
Extreme Winter Sports,3.7
AMA Superbike,4.5
Disciples: Sacred Lands,8.5
Silver,7.1
Driver,8.9
Panzer General 3D Assault,7.6
Fly!,4.8
Harley-Davidson: Race Across America,4.8
Cutthroats: Terror on the High Seas,6.2
FreeSpace 2,8.9
Ted Nugent Wild Hunting Adventure,7.4
NHL 2000,8.2
Tom Clancy's Rainbow Six: Rogue Spear,9.2
Pandora's Box,7.6
Expert Pool,8.3
K.O.,4.3
NBA Inside Drive 2000,6.5
Sinistar: Unleashed,7.5
Legacy of Kain: Soul Reaver,9.2
Extreme Mountain Biking,3.5
Mob Rule,5.2
The Operational Art of War II: Modern Battles 1956 - 2000,8.6
Animaniacs: A Gigantic Adventure,3.5
LEGO Racers,6.1
Outcast,8.5
Drakan: Order of the Flame,8.1
Clans,5.3
Gulf War: Operation Desert Hammer,3.3
Braveheart,4.2
Man of War II: Chains of Command,5.7
Civilization II: Test of Time,7.8
Disney's Tarzan Action Game,7.3
Starshot: Space Circus Fever,6.5
Hidden & Dangerous,7.6
WWII GI,3.2
Superbike World Championship,8.3
Skydive!,2.2
Jagged Alliance 2,8.5
"Warhammer 40,000: Rites of War",6.1
Atari Arcade Hits,8.6
bleem!,5.5
Ring: The Legend of the Nibelungen,2.7
Kingpin: Life of Crime,8.3
Ultimate 8 Ball,7.4
PGA Championship Golf 1999 Edition,7.6
Links Extreme,5.3
Pro 18 World Tour Golf,5.3
Dungeon Keeper 2,8.9
F-22 Lightning 3,8.4
Total Annihilation: Kingdoms,6.9
Worms Armageddon,8.6
Need for Speed: High Stakes,7.5
Might and Magic VII: For Blood and Honor,7.7
Force 21,7.8
Jane's Fleet Command,6.8
Midtown Madness,8.4
Extreme Boards & Blades,1.8
Monaco Grand Prix Racing Simulation 2,7.2
Star Trek The Next Generation: Birth of the Federation,5.5
MechWarrior 3,9.3
"Grand Theft Auto Mission Pack #1: London, 1969",7.8
Sports Car GT,7.3
Extreme WaterSports,1.8
Magic & Mayhem,7.3
Apollo 18,4.2
F-16 Aggressor,7.5
Yoot Tower,7.8
Boss Rally,7.3
Lands of Lore III,4.9
Extreme Bullrider,2.3
Enemy Engaged: Apache V Havoc,7.1
Commandos: Beyond the Call of Duty,7.9
Civilization: Call to Power,4.8
Falcon 4.0,8.4
Machines,7.2
Rollcage,5.2
Imperialism II: The Age of Exploration,8.4
Fighter Squadron: The Screamin' Demons over Europe,7.2
Army Men II,4.4
Recoil,8.3
Redline,7.1
EverQuest,8.4
Resident Evil 2,6.8
NASCAR Revolution,4.5
Beavis and Butt-head Do U.,5.6
WCW Nitro,4.8
South Park,4.5
CyberStrike 2,6.9
Barrage,3.7
Myth II: Soulblighter,8.9
Sid Meier's Alpha Centauri,9.5
FunPack 3D,3.7
Beavis and Butt-head: Bunghole in One,4.4
Pro Pinball: Big Race USA,7.4
Wetrix,7.8
Baldur's Gate,9.4
Speed Busters: American Highways,7.8
Snowmobile Championship 2000,5.1
Sierra Sports: Skiing 1999 Edition,2.5
Castrol Honda Superbike World Champions,7.1
Thunder Brigade,6.2
Top Gun: Hornet's Nest,5.1
Luftwaffe Commander,5.2
Wheel of Fortune,6.9
Vigilance,5.8
Vangers: One for the Road,6.7
Urban Assault,6.8
Tom Clancy's Rainbow Six,9.4
Tomb Raider III: Adventures of Lara Croft,7.7
TOCA Touring Car Championship,8.2
Tiger Woods 99 PGA Tour Golf,7.8
Test Drive: Off-Road 2,4.5
Test Drive 5,7.8
Starship Titanic,4.9
Space Bunnies Must Die!,6.5
Return Fire,7.8
Rage of Mages,4.6
Quest For Glory V: Dragon Fire,6.6
Pro Pilot 99,5.8
Powerslide,8.3
Populous: The Beginning,8.6
Plane Crazy,8.5
NFL Blitz,8.5
Need for Speed III: Hot Pursuit,7.3
NBA Live 99,8.6
Moto Racer 2,8.6
Montezuma's Return,6.3
MechCommander,7.8
Madden NFL 99,8.5
M.A.X. 2,3.7
King's Quest: Mask of Eternity,7.8
Independence War,7.6
iF/A-18E Carrier Strike Fighter,6.8
H.E.D.Z. (Head Extreme Destruction Zone),6.5
Peter Jacobsen's Golden Tee Golf,7.2
Forsaken,8.5
European Air War,8.2
Dune 2000,5.3
Dethkarz,6.8
Delta Force,8.7
Dark Vengeance,6.8
Centipede,7.6
The Game of Life (1998),7.5
Carnivores,7.3
Brunswick Circuit Pro Bowling,6.4
Asteroids,6.8
Fatal Abyss,5.3
Microsoft Golf Version 2.0,7.4
Wargasm,7.8
Return to Krondor,7.4
Oddworld: Abe's Exoddus,8.5
The Settlers III,6.9
Tom Clancy's Rainbow Six Mission Pack: Eagle Watch,8.6
Pinball Arcade,5.2
Global Domination,3.6
Microsoft Combat Flight Simulator: WWII Europe Series,6.9
Gangsters,8.5
Star Wars: Rogue Squadron 3D,8.3
Half-Life,9.5
Fallout 2,8.9
Grim Fandango,9.4
Return Fire 2,7.8
Trespasser,4.7
Railroad Tycoon II,8.9
Axis & Allies: The Ultimate WWII Strategy Game,8.2
Deep Sea Trophy Fishing,1.8
Leisure Suit Larry's Casino,6.2
Commandos: Behind Enemy Lines,8.2
Sensible Soccer '98,4.3
Pro Bass Fishing,2.9
Deathtrap Dungeon,4.7
Final Fantasy VII,8.2
Twisted Metal 2,3.5
NBA Action 98,3.5
Conquest: Frontier Wars,8.8
Wizardry 8,7.5
MechWarrior 3: Pirate's Moon Expansion Pack,7.2
BreakNeck (2000),8.2
Warlords Battlecry,8.4
